Книга,Автор,Год выпуска
Страж,Алексей Пехов,2010
Красное на красном,Вера Камша,2004
"Человек, который принял жену за шляпу",Оливер Сакс,2021
Убийственная шутка,Криста Фауст,2019
Магическая битва 8,Гэгэ Акутами,2022
Atomic Heart,Харальд Хорф,2023
Повелитель мух,Уильям Голдинг,2022
